gMLP	SVR	SPLS	XGBoost	BayesA
Zm00001d029636	Zm00001d029208	Zm00001d029127	Zm00001d028388	Zm00001d029140
Zm00001d029647	Zm00001d029227	Zm00001d029165	Zm00001d028419	Zm00001d029165
Zm00001d029657	Zm00001d029238	Zm00001d029226	Zm00001d028453	Zm00001d029226
Zm00001d029663	Zm00001d029256	Zm00001d029281	Zm00001d028455	Zm00001d029254
Zm00001d029675	Zm00001d029264	Zm00001d029293	Zm00001d028456	Zm00001d029281
Zm00001d029688	Zm00001d029281	Zm00001d029339	Zm00001d028464	Zm00001d029293
Zm00001d029697	Zm00001d029303	Zm00001d029365	Zm00001d028472	Zm00001d029297
Zm00001d029758	Zm00001d029318	Zm00001d029412	Zm00001d028484	Zm00001d029303
Zm00001d029762	Zm00001d029339	Zm00001d029451	Zm00001d028488	Zm00001d029365
Zm00001d029764	Zm00001d029343	Zm00001d029488	Zm00001d028497	Zm00001d029410
Zm00001d029818	Zm00001d029365	Zm00001d029498	Zm00001d028504	Zm00001d029451
Zm00001d029840	Zm00001d029383	Zm00001d029543	Zm00001d028512	Zm00001d029462
Zm00001d029849	Zm00001d029412	Zm00001d029548	Zm00001d028558	Zm00001d029488
Zm00001d029852	Zm00001d029420	Zm00001d029550	Zm00001d028579	Zm00001d029498
Zm00001d029856	Zm00001d029442	Zm00001d029555	Zm00001d028585	Zm00001d029504
Zm00001d029865	Zm00001d029454	Zm00001d029560	Zm00001d028601	Zm00001d029523
Zm00001d029868	Zm00001d029525	Zm00001d029561	Zm00001d028649	Zm00001d029530
Zm00001d029875	Zm00001d029526	Zm00001d029603	Zm00001d028653	Zm00001d029546
Zm00001d029878	Zm00001d029543	Zm00001d029604	Zm00001d028670	Zm00001d029548
Zm00001d029887	Zm00001d029550	Zm00001d029632	Zm00001d028676	Zm00001d029550
Zm00001d029888	Zm00001d029560	Zm00001d029652	Zm00001d028690	Zm00001d029555
Zm00001d029923	Zm00001d029597	Zm00001d029663	Zm00001d028692	Zm00001d029560
Zm00001d029932	Zm00001d029603	Zm00001d029674	Zm00001d028696	Zm00001d029561
Zm00001d029933	Zm00001d029608	Zm00001d029675	Zm00001d028711	Zm00001d029566
Zm00001d029938	Zm00001d029657	Zm00001d029688	Zm00001d028754	Zm00001d029590
